0	300.2511	1.17e+00	1.01e+05	28.9502	300.2511	1.17e+00	1.01e+05	28.9502	300.2511	1.16e+00	9.98e+04	28.9502
20	206.2085	9.48e-02	5.62e+03	28.9502	206.2085	9.49e-02	5.62e+03	28.9502	206.2085	9.41e-02	5.57e+03	28.9502
40	257.6979	4.07e-03	3.01e+02	28.9502	257.6979	4.07e-03	3.02e+02	28.9502	257.6979	4.04e-03	2.99e+02	28.9502
60	244.1212	3.31e-04	2.32e+01	28.9502	244.1212	3.31e-04	2.32e+01	28.9502	244.1212	3.28e-04	2.30e+01	28.9502
80	203.1065	1.69e-05	9.81e-01	29.1353	196.3636	1.68e-05	9.45e-01	29.0175	172.2146	1.68e-05	8.42e-01	28.5290
100	168.7219	5.77e-07	2.89e-02	28.0036	184.0160	5.08e-07	2.81e-02	27.7137	297.3338	2.78e-07	2.63e-02	26.1997
120	356.8669	1.70e-08	1.92e-03	26.3948	374.9715	1.80e-08	2.17e-03	25.8745	430.8385	2.34e-08	3.55e-03	23.6456
140	545.8594	2.96e-09	5.37e-04	25.0665	635.5703	3.26e-09	7.03e-04	24.5349	875.9174	4.93e-09	1.61e-03	22.3209
160	630.0652	9.65e-10	2.13e-04	23.7884	787.5532	1.18e-09	3.31e-04	23.4225	1143.5426	2.23e-09	9.90e-04	21.4577
180	667.8662	3.90e-10	9.62e-05	22.5037	877.6729	5.51e-10	1.80e-04	22.4106	1314.3427	1.28e-09	6.76e-04	20.7706
200	684.9187	1.75e-10	4.70e-05	21.2516	931.2806	2.91e-10	1.05e-04	21.4734	1423.6469	8.28e-10	4.86e-04	20.1836
220	692.6487	8.47e-11	2.43e-05	20.0935	963.2701	1.66e-10	6.44e-05	20.6108	1493.7864	5.69e-10	3.60e-04	19.6664
240	696.1697	4.31e-11	1.31e-05	19.0789	982.4191	9.91e-11	4.09e-05	19.8292	1538.9154	4.08e-10	2.72e-04	19.2046
260	697.7811	2.30e-11	7.31e-06	18.2300	993.9173	6.16e-11	2.66e-05	19.1337	1568.0294	3.00e-10	2.08e-04	18.7901
280	698.5220	1.27e-11	4.20e-06	17.5402	1000.8427	3.94e-11	1.77e-05	18.5256	1586.8613	2.25e-10	1.61e-04	18.4178
300	698.8644	7.22e-12	2.47e-06	16.9830	1005.0267	2.58e-11	1.20e-05	18.0015	1599.0743	1.71e-10	1.26e-04	18.0839
320	699.0233	4.21e-12	1.48e-06	16.5214	1007.5620	1.72e-11	8.20e-06	17.5537	1607.0154	1.32e-10	9.93e-05	17.7852
340	699.0973	2.50e-12	9.01e-07	16.1147	1009.1030	1.16e-11	5.69e-06	17.1721	1612.1920	1.03e-10	7.86e-05	17.5186
360	699.1320	1.51e-12	5.57e-07	15.7219	1010.0423	7.99e-12	3.98e-06	16.8449	1615.5751	8.05e-11	6.26e-05	17.2812
380	699.1483	9.20e-13	3.50e-07	15.3028	1010.6166	5.55e-12	2.81e-06	16.5597	1617.7916	6.35e-11	5.01e-05	17.0699
400	699.1561	5.68e-13	2.23e-07	14.8185	1010.9688	3.89e-12	2.01e-06	16.3044	1619.2476	5.04e-11	4.02e-05	16.8818
420	699.1597	3.54e-13	1.45e-07	14.2332	1011.1853	2.75e-12	1.44e-06	16.0669	1620.2062	4.02e-11	3.25e-05	16.7142
440	699.1615	2.23e-13	9.61e-08	13.5181	1011.3190	1.96e-12	1.04e-06	15.8360	1620.8390	3.23e-11	2.63e-05	16.5643
460	699.1623	1.42e-13	6.54e-08	12.6581	1011.4014	1.40e-12	7.55e-07	15.6008	1621.2577	2.60e-11	2.13e-05	16.4297
480	699.1627	9.20e-14	4.59e-08	11.6594	1011.4526	1.01e-12	5.53e-07	15.3508	1621.5354	2.10e-11	1.73e-05	16.3079
